Vardas                Pavarde                    ND1     ND2     ND3     ND4     ND5     ND6     ND7     ND8     ND9    ND10    ND11    ND12    ND13    ND14    ND15    Egz.
Vardas302             Pavarde302                   8       2       8       1       4       2       4       8       4       7       3       3       7       9       1       9
Vardas303             Pavarde303                   3       7       2      10       4      10       9       2       9       6      10       4       3       8       8       1
Vardas304             Pavarde304                   8       7       8       6       6       1       6       9       7       6       4       7      10       1       4       9
Vardas305             Pavarde305                   1       6       6      10       3       4       5       8       1       8      10       4       1       5       7       8
Vardas306             Pavarde306                   6       4       5       2       2       1       7       7       5       8       9       4       3       1       5       8
Vardas307             Pavarde307                  10       2       5       8       2       5       8      10       6       1       5       1       9       8       9       6
Vardas308             Pavarde308                   8       3       4       8       2       8       3       1       5       8       5       7       4       7      10       6
Vardas309             Pavarde309                   6       1       7       9       9       5       4       6       4       4       8       7       3      10       1       7
Vardas310             Pavarde310                   1       9       4       4       3       9       1       8       6       4       9      10       4       3       1       2
Vardas311             Pavarde311                   6       6       3       7      10       8       3       4       3       5      10       3       2       1       2       4
Vardas312             Pavarde312                   6       4       7       7       9       2       6       9      10       8       2       5       3      10       5       6
Vardas313             Pavarde313                   8       7       3       9       4       9       7       3       8       1       1      10       8       9       1       6
Vardas314             Pavarde314                   4      10       9       4       3      10       2       9       8      10       6       7       3       2       6       4
Vardas315             Pavarde315                   1       6       7       8       1       6       7       6       5       6       5       5      10       7       9       6
Vardas316             Pavarde316                  10       2       2       7       4       2       2       3      10       9       6       3       7       9       3       7
Vardas317             Pavarde317                   3       9       5       8       5       9       7      10       2       1       2       8       7       5       9       9
Vardas318             Pavarde318                   9       5       3       1      10       9       3       4      10       5       1       4       9       7       5      10
Vardas319             Pavarde319                   4       8      10       8       9       2       5       3       1       6       2       3       4       2       1       5
Vardas320             Pavarde320                   3       9       7       2       5       8       4      10       4       5       6       6       5      10       9       8
Vardas321             Pavarde321                   5       1       7       8       7       3       6       4       4       3       8       6       9       9       3       6
Vardas322             Pavarde322                   9       2      10       4       3       7       3       3       6       6       6       1       1       9       4       4
Vardas323             Pavarde323                   7       3       9       3       7       8       1       4       5       6       8       8       9       4       6       8
Vardas324             Pavarde324                   6       3       9       5       8       2      10       9       9       9      10       6       6      10       3       6
Vardas325             Pavarde325                   8       7       9       1       8       4       8       9      10       2       5       2       8       6       2      10
Vardas326             Pavarde326                   8       6       3       2       3      10       6       7       4       9       8      10       4       6       1      10
Vardas327             Pavarde327                   8       4       1       5       3       3       6       3       2       1      10       7       6       6       8       2
Vardas328             Pavarde328                   4      10       1      10       1       3       7       3       1       7       5       3       3       7       6       3
Vardas329             Pavarde329                  10       1       8      10      10       5       5      10       3       1       4       5       5       6       2       3
Vardas330             Pavarde330                  10      10       3       4      10       7       8       2       6       1       6       6       7       4       2       6
Vardas331             Pavarde331                   5       4       9       2       6       4       5       7       2      10       5       6       3       3       5      10
Vardas332             Pavarde332                   7       5       3       9       4       4       1       2       3       3       2       4       9       1       1       5
Vardas333             Pavarde333                   6       4       3       4       7      10      10       5       6       7       2       5       9       8       7       2
Vardas334             Pavarde334                   7       1       6       8       9       5       3       2       7       3       1       5       6       7       7       3
Vardas335             Pavarde335                   9       2       9       1       4       9       1      10       3       7       5       2       5       8       1      10
Vardas336             Pavarde336                  10       3      10       5       4       2       5      10       1      10       4       9       2       3       1       3
Vardas337             Pavarde337                   9       7       8       6       9       7       6       8       1       8       3      10       3       3      10       5
Vardas338             Pavarde338                   3       3       1       2       7       7       3       1       5       4       5       8       8       9       7       6
Vardas339             Pavarde339                   1       4       2       2       6       1       6       9       8       9       8      10       1       5       1       1
Vardas340             Pavarde340                   8       6       7       3       8       6       5       7       2       9       9       8       1       1       7       7
Vardas341             Pavarde341                   2       6       8       8       9      10       9      10       6       8      10       8       2       5       1       4
Vardas342             Pavarde342                   7       3       3      10      10       4      10       7       7       7       6       6       6       3       3       6
Vardas343             Pavarde343                   6       2       9       7       1       2       6      10       7      10       3       4       4       9       2       6
Vardas344             Pavarde344                   7       2       6       9       6       7       9       5       9       6       7       5       1       1       5       6
Vardas345             Pavarde345                  10       4       6       5       8       8       2       7       5       3       9       1       9       6       4      10
Vardas346             Pavarde346                   4       7       7       2      10       7       3       7       7       5       6       5       7      10       6       5
Vardas347             Pavarde347                   6       9       9       3       7       8      10       9       3       9       6       5       5       9       6       9
Vardas348             Pavarde348                   1       8       4       5       3       5       2       9       6      10      10       8       3       8       3       5
Vardas349             Pavarde349                   7       1       7       9       7       5       5       2       9       7       9       1       1       2       1      10
Vardas350             Pavarde350                   3       2       6       7       7       8      10       2       8       5       8       8       1       7       2       8
Vardas351             Pavarde351                   8       9       2      10       2      10       1       7       5       6       4       6       8       8       1       5
Vardas352             Pavarde352                   9       5       1       9       1       3       4       9      10       4       1       5       5       5       7       1
Vardas353             Pavarde353                   3       8       8      10       6       7       3       2       6       2       1       4       8       5       2       8
Vardas354             Pavarde354                   6       4       9       4       5       5       5       8       2       4       5       3       6       7       2       2
Vardas355             Pavarde355                   2       4       6       9       8       5       5      10       3       4       1       2       2       8       1       5
Vardas356             Pavarde356                   7       3       3       5       2       9       6       2       7      10       5      10       2       1      10       7
Vardas357             Pavarde357                   9       1       4       4       5       5       1       2       3       3       7       4       5       5       5       3
Vardas358             Pavarde358                   9       1       5       4       2       7      10       2       9       2       2       8       8       7       2      10
Vardas359             Pavarde359                   1       9       6       1       7       2       8       9       7       1       9       8       8       2       8       1
Vardas360             Pavarde360                   9      10       9       6       3       8       1       6       1       3       4       1       3       1       6       1
Vardas361             Pavarde361                  10       8       9       7       8       3       9       6       7       1       6       1       6       1       6       4
Vardas362             Pavarde362                   7       3       1       7       7       3       5       1       6       2       8       8       8       5      10       1
Vardas363             Pavarde363                   8       5       5       6       5       8       9       3       2       4       2       2       3      10       5       5
Vardas364             Pavarde364                   9       8       6       2       3       5       9      10       4       5       9      10       1       7       4       3
Vardas365             Pavarde365                   8       9       7       6       7       5      10      10       5       5       5       4       4       5       2       4
Vardas366             Pavarde366                   4       6       8       4       8       1       1       7      10       5       5       8       8       5       3       8
Vardas367             Pavarde367                   7       2       4       8       6       4       9       1       1       3       6       8       2       3       6       2
Vardas368             Pavarde368                   7       8       6       3       8       3       3       3       5       8       6       7       5       5       2       7
Vardas369             Pavarde369                   3       2       7       1       7       6       2       2       7       6       3       5       9       2       8      10
Vardas370             Pavarde370                   3       3       5       9       3       5       8       4       7       5       6      10       4       9       3       5
Vardas371             Pavarde371                   8       4       7       5       5       6       1      10       1       1      10       1       6       2       7       8
Vardas372             Pavarde372                   7       9       8       1       3       1       3       3       4       3       1       7       7       6       3       1
Vardas373             Pavarde373                   8       3       7       8      10       6       5       4       7       9       2       4       6       1       5       2
Vardas374             Pavarde374                   4       8       7       4      10       4       4      10       9       7       3      10      10       2       8       7
Vardas375             Pavarde375                   1       7       1       5       2       9       5       5       2      10       4       8       9       8      10       8
Vardas376             Pavarde376                   5       8       5       4       8       4       2       6       8       4       9       5      10       8       5       5
Vardas377             Pavarde377                   6       4       2      10       9       2       2       3       6       2       4       5       6       8       1       4
Vardas378             Pavarde378                   4      10       4       9       1       7       2       5       4       6       1      10       8       3       8      10
Vardas379             Pavarde379                   4       3       9       2       6       3       5       5       7       8       5       8       8       7       8       8
Vardas380             Pavarde380                   9       8       8       2       3       8       6       2       1       8       5       1       5       4       9       2
Vardas381             Pavarde381                   5       9      10       4       9       5      10       6       1       9       7       6       2       9       9      10
Vardas382             Pavarde382                   3       7       4       8       5      10       9       6       6       9      10       1       2       9       9       1
Vardas383             Pavarde383                   8       3       4      10       9       1       1       2      10       1       4      10      10       5       4       5
Vardas384             Pavarde384                   9       9       8       4      10       2       1      10       3       5       4       5       8       5       5       2
Vardas385             Pavarde385                  10       7       4       9       1       2       4       6       8       3       8      10      10       1       9       1
Vardas386             Pavarde386                   1       1       1       2       1       2       2       4       6       9       2       1       8       4       7      10
Vardas387             Pavarde387                   8       8       8       8       6       5       5       5      10       2       4       6       2       2       6       1
Vardas388             Pavarde388                   5       2       3       2      10       4       4       1       3       6       8       1      10       9       6       3
Vardas389             Pavarde389                   4      10       7       8       7       7      10       4       6       3       8       2       1       1       2       1
Vardas390             Pavarde390                   5      10       9       8       1       8       4       9       5       3       4       1       5       5       2       5
Vardas391             Pavarde391                   6       9       1       1       3       5       9       1       5       7       5       1       7       1       6       4
Vardas392             Pavarde392                  10       7      10       9       7       7       1       4       1       3       9       6       8       9      10       6
Vardas393             Pavarde393                   3       2       2       1       6       7       9      10       2       8       4       2       3       1       5       4
Vardas394             Pavarde394                   6       7      10       1       3       4       4       3       4       4       5       7       6       9       9      10
Vardas395             Pavarde395                   8       9       2       1      10       6       5       6       8       3       2       7      10       6       5       9
Vardas396             Pavarde396                   5       1       9      10       3       2       5       9       2       5       1       5       3       9       7       2
Vardas397             Pavarde397                   9       6       2       8       4       7       5       9       9       4       5       2       7       1       4       2
Vardas398             Pavarde398                   7       6       6      10       7       8      10       3       1       9       3       3       2       4       5       4
Vardas399             Pavarde399                   4       3       9       3       2       4       6       6       4       6       9       5       5       8       2       7
Vardas400             Pavarde400                   8       1       7       5       1       8       6       3       7       8       3       8       3       7       8       6
Vardas401             Pavarde401                  10       1       3       5       5       8       4       1       8       5       9       7      10       4       7       9
Vardas402             Pavarde402                  10      10       5       7       6       4       6       1       4      10       7       6      10       8       9       4
Vardas403             Pavarde403                   8       3       4       9       8       4       2       3       6       2       9       8       5       9       4       9
Vardas404             Pavarde404                   8       9       6       7       9       6       9       2       2       3       7       8       2       8       6       1
Vardas405             Pavarde405                   1       6       9       2       7       8       1       1       4       1      10       6       2       2       2       8
Vardas406             Pavarde406                   6      10       8       4       9       8       8       8       4       5       6       5       4       3       5       9
Vardas407             Pavarde407                   5       1       4       4       4       2       4       2       1       6       5       7       2       1      10       8
Vardas408             Pavarde408                  10       8       7       9       8       7      10       2       9       4       6       5      10       5       6      10
Vardas409             Pavarde409                   9       9       7       3       1       7       9       7       6      10       7       1       7       9       3       8
Vardas410             Pavarde410                   8       8       4       6       5       6       7       6       4       5       3       4       9       1       6       7
Vardas411             Pavarde411                   6       3       7       9       4       8       7       2       3       4       6       2       2       8       8       8
Vardas412             Pavarde412                   6      10       1       7       9       1       4       1       6       7       9       4       3       8       5       7
Vardas413             Pavarde413                   9       3       8       9       8       9       4       7       9       6       8      10       4       9       3       8
Vardas414             Pavarde414                   9      10       8       4       8       6       7       1       8       2       6       4       4       6       8       2
Vardas415             Pavarde415                   1       3       8       5      10       8       7       4       8       2       5       4       7       6       6       7
Vardas416             Pavarde416                   5       8       5       6       5       1       9       2       3       3      10       7      10       9       7       4
Vardas417             Pavarde417                  10       7       5      10      10       8       2      10       9       5       1       4       8       6       4       4
Vardas418             Pavarde418                   3       8       6       1       4      10       5       1       6       9       1      10       1       9       7       9
Vardas419             Pavarde419                   8       7       7       3       2       1       4       6       5       1       7       2       5       6       4       2
Vardas420             Pavarde420                  10       2       5      10       5       2       5       8      10       7       6       7       7       3      10      10
Vardas421             Pavarde421                   6       1       3      10      10      10       7       3       3       5       9      10       9      10       8       9
Vardas422             Pavarde422                   9       3      10       3       2       4       1      10       7       5       2       7       2       2      10       2
Vardas423             Pavarde423                   7      10       1       8       3       4       9       5       3       5      10       1       1       6       9       7
Vardas424             Pavarde424                   1       3      10       2       6       6       6       5       1       8       8       1       8       3       4       2
Vardas425             Pavarde425                   1       5       7       1       1       9       4       8       4       8       4       6       3       3       8       2
Vardas426             Pavarde426                  10       1       5       8       1       1       4       4       5      10       8      10       8       1       3       2
Vardas427             Pavarde427                   4       2       2       8       6       1       3      10       7       7       1       5       5       5       6       7
Vardas428             Pavarde428                   3      10       7       4       6       3       9       9       7       2       4       4       7       1      10      10
Vardas429             Pavarde429                   6       2       1       6      10       1       7       7       7       6       4       6       8       1       5       3
Vardas430             Pavarde430                   4      10       4       6       7       4       3       3       8       5       3       9       4       5       6       6
Vardas431             Pavarde431                   8       2       3       3       4       8       6       1       1       9       2       7       3       5       9      10
Vardas432             Pavarde432                   9       7       6       7       6       2       6       4       6       3       8       4       6       8       4       6
Vardas433             Pavarde433                   4       1       3      10       3       5       8       6       2       9       6       3       2       5      10       3
Vardas434             Pavarde434                   8       5       9       1       7       1       9       7       5       2       7       3       3       2       9       1
Vardas435             Pavarde435                   8       4       2       3       7       8       6       8      10       9       6       4       3       5       3       5
Vardas436             Pavarde436                  10       6       3       9       7       4       1       7       2       7       8       4      10       4       8       8
Vardas437             Pavarde437                   2       5       2       4       6       3       5       9       1       9       6       3       5       8       9       3
Vardas438             Pavarde438                   6       8       2       2       7       4       9       9      10      10       8       1       3       3       2       9
Vardas439             Pavarde439                   4       9       5       6       3       6       5       6       9       4       6       3      10       8       3       5
Vardas440             Pavarde440                   1       1       8       1       5      10       5       7      10       1      10       2      10       6       9       9
Vardas441             Pavarde441                   8       9       9       4       5       9       6       9       5       4       6       7       3       5       1       6
Vardas442             Pavarde442                   7      10       2       2       7       5       3       3       7      10       2       5       1       6       5       8
Vardas443             Pavarde443                   8       8       2       4       5       6       9       6       5       9       9      10       9       7       1       3
Vardas444             Pavarde444                   2       3       3       9       6       8       3       4       7       6       8       4      10       3       5      10
Vardas445             Pavarde445                   3       4       8      10       6       3       1       2       9       1       2       3       3       7       3      10
Vardas446             Pavarde446                   7       6       2      10       5       1       7       5       2       6       6       9       8       9       7       3
Vardas447             Pavarde447                   8       3       4       7      10       8       7       5       7       2       1       9       1       5       6       6
Vardas448             Pavarde448                   4       1       3       4       1       3       6       7      10       9       3       4       5       7       9       6
Vardas449             Pavarde449                  10       7       3       2       7       3       3       4       1       8       5       5       4       9       6       4
Vardas450             Pavarde450                   2       3       4       3      10       7       9       1       8       8       7       2       4       5       7       1
Vardas451             Pavarde451                   3       5      10       9       8      10       5       9       9       5       7       1       9       6       5       7
Vardas452             Pavarde452                   2       6       3       9       2       1       6       6       8       7       4       9       2       3       8       4
Vardas453             Pavarde453                  10       3       6       7       5       5       7       1       4       3       4       1       8       5       6       4
Vardas454             Pavarde454                   5       4       9       4       1       7       1       8       6       1       3       3       9       2       3       9
Vardas455             Pavarde455                   9       4       2       2       7      10       4       4       6       5       2       6       6       4       4       7
Vardas456             Pavarde456                   7      10      10       7       9       9      10       5      10       4       7       6       9       6       8       5
Vardas457             Pavarde457                  10       8       9       1       8       6       4       9      10       7      10      10       4       3       7       9
Vardas458             Pavarde458                   7       7      10       5      10       4       8       5       4       7       9       3       5       9       3       3
Vardas459             Pavarde459                   2       7      10       3       6       8       8       7       1       8       5       9       6       4       9       2
Vardas460             Pavarde460                   7       2      10      10       5       9       8       9       5       1       5      10       3       4       3      10
Vardas461             Pavarde461                   3       5      10      10       7      10       9       5       2      10      10       2       5      10       1       3
Vardas462             Pavarde462                   3       7       9       5       4       7       5       9       4       5       1       3       1       8       9       8
Vardas463             Pavarde463                   9       2      10       5       8       1       4       7      10      10       3       8       3       4       7       9
Vardas464             Pavarde464                   8       3       4       1       6       3       4       5       9       9       9       5       1       7       8       8
Vardas465             Pavarde465                   2       3       7       5       4       5       6       7       1       9       3       6       1       5       8      10
Vardas466             Pavarde466                   5       1       9       4       8       7       6       3       5       4       8       5       1       5       1       4
Vardas467             Pavarde467                   5       5       7      10       9       8      10       2       1       8       9       1       3       9       3      10
Vardas468             Pavarde468                   8       6       4       8       7       3      10       3       2       6       6       2       5       9       7       8
Vardas469             Pavarde469                   3       8      10       7       7       6       1       9       4      10       6       8       5       6       8       6
Vardas470             Pavarde470                   7       9       9       8       7       5       7       1       6       8       7       1       8       8       9      10
Vardas471             Pavarde471                   3       5       9       9       9       1       4       5       4       3       1       1       8       1       9       2
Vardas472             Pavarde472                   6       4       7       3       6       3       2       2      10      10       2       8       9       2       5       9
Vardas473             Pavarde473                   3       8       1       7       3       9       1      10       3       6       7      10       9       6       8       2
Vardas474             Pavarde474                   8      10       4       8       6       6       7       3       4      10       6       4       4       2       6       1
Vardas475             Pavarde475                   4       2       9      10       6       9      10       9       9       6       4       5      10       4       5       3
Vardas476             Pavarde476                   3       9       8      10       2       8       8       8      10       7       7       5       8       9       6       6
Vardas477             Pavarde477                   4       8       3       3       1       1       1       5       7      10       1       7       2       9       8       8
Vardas478             Pavarde478                   1       7       1       5       3       3       9       8       3       9       2       4       7       4       4       5
Vardas479             Pavarde479                   9       1       5       5       8       6       6       1       4       7       6       4       4       1       3       8
Vardas480             Pavarde480                   7       4       1       7       1       6       9       9       6       1       1       1       9       7      10       5
Vardas481             Pavarde481                  10       1       4       8       9      10       1       2       3       1       4       6       6       7       2       6
Vardas482             Pavarde482                   7       5       1      10       5       1       3      10       5       6       5      10       7       4       4       4
Vardas483             Pavarde483                   4       7       7       5       9       3       8       3       5       6      10       1       1       2       2       2
Vardas484             Pavarde484                  10       3       2       6       5       2       7       1       1       3       4      10       4      10       2       3
Vardas485             Pavarde485                   4       9       9       1       9       4       9       4       6       1       1      10       9       4       2      10
Vardas486             Pavarde486                   7       9       1       6       9       1       1       2       3       5       9       4      10      10       2       6
Vardas487             Pavarde487                   1       9      10       6       8       4       8       3       5       4       9       8      10      10       9      10
Vardas488             Pavarde488                   3       1       7      10       6      10      10       5       5       3       9       2       8       2       7       3
Vardas489             Pavarde489                   8       8      10      10       7       7       8       3       8       7       6       5       8       6       4       6
Vardas490             Pavarde490                   4       7       9       9       1       5       2       1       9       2       7       7       2       7       5       6
Vardas491             Pavarde491                   8       9       9       2       2       8       9       8       1       1       4       8       6       2       2       5
Vardas492             Pavarde492                   9       3       2       3       2       1       1       4       5       5       4       2       5       4       2       6
Vardas493             Pavarde493                   3       2       4       3       1       4       4       3       2      10       5      10       6      10       8       1
Vardas494             Pavarde494                   6       8       3       1       7       3       7       4       7       5       3       6       9       8       7       3
Vardas495             Pavarde495                   6       5       2       8       1       7       7       2       2       5       2       5       1       8       3       1
Vardas496             Pavarde496                   8       2       3       7      10       5       9       9       2       7       7       8       9       9       7       3
Vardas497             Pavarde497                   7       7       5       4       9       6       7       2       1       5       6       7       9       6       7       7
Vardas498             Pavarde498                   7      10       9       6       7       5       4       6       4       5       6       3       5       2       7       8
Vardas499             Pavarde499                  10       9       7       8       6       3       8       5      10       2       5       6       3       7      10       8
Vardas500             Pavarde500                   7      10       2       8       6       3       7       9       5       9       9       2       7       7       4       2
Vardas501             Pavarde501                   3       4       7       4       8       1       6       5       1      10       5       6       3       3       7       1
Vardas502             Pavarde502                   5      10       5       3       4       5       3       8       4       1       7       4       6      10       5       8
Vardas503             Pavarde503                   8       7       9       4       3       3       8      10       8       9      10       9       2       7       5       9
Vardas504             Pavarde504                   7       2       7       1      10       5       1       2       3       3       4       2      10       6       7      10
Vardas505             Pavarde505                   4       4       1       4       7       8       4       5       4      10       1      10       9       6       7       1
Vardas506             Pavarde506                   6       3       3       6       6       3       6       9       3       2      10      10       5       8       1      10
Vardas507             Pavarde507                   1       7       1       7       9       2       4       3       6       1      10      10       1       9       5      10
Vardas508             Pavarde508                  10       4       4       3       3       4       6       1      10       8       9       6       9       1       6       8
Vardas509             Pavarde509                   4       3       4       4       9      10      10       4       3       4       1       6       6       1       3       3
Vardas510             Pavarde510                   8       3      10       5       5       5       4       5       4       7       3       8       5       9       3       3
Vardas511             Pavarde511                   9       3       6       3       3       5       6       6       6       6       4       9       7       8       2       8
Vardas512             Pavarde512                   1       7       9       3       7       9       8       4       7       9       1       3       5       3      10       4
Vardas513             Pavarde513                   4       6       2       8       8       5       5       5       4       2       9      10       8       1       9       8
Vardas514             Pavarde514                   8      10       2       8       6       8       8       2       5       8       5       3       9       6       1       2
Vardas515             Pavarde515                   2       5       2       8       2       2       4       1       4       5       6       3       2       2       8       1
Vardas516             Pavarde516                   7       3       8       8       8      10       9       2       4      10       6      10       7       6       6       1
Vardas517             Pavarde517                  10       6       6       8       5      10       8       1       8       1       2       7       2       6       3       2
Vardas518             Pavarde518                   7       9       8      10       2       8       8       4       7       8       5       5       5       2      10       5
Vardas519             Pavarde519                   9       2      10       2      10      10       4       4      10       8       7       9      10       1      10       1
Vardas520             Pavarde520                   4      10       2      10      10       9       7      10       4       8       5      10       1       3       2      10
Vardas521             Pavarde521                  10       5       5      10       1       6       8       8       4       5       7       2       1       7       8       2
Vardas522             Pavarde522                   1       5      10       8       3       2       3       9       8       3       5       3       5       6       9       9
Vardas523             Pavarde523                   6       5       5      10       6       2       1       9       1       1       2       1       7       1       4       7
Vardas524             Pavarde524                   3       3       2       3       8       4       6       6       6       5      10      10       1       7       2       8
Vardas525             Pavarde525                   2       8       7       7       3      10       3       8       2       8       4       3      10      10      10      10
Vardas526             Pavarde526                   6       7      10       6       5       4       8       1       2       1       8       6       7       3       5       7
Vardas527             Pavarde527                   2       9      10       6       3       7       3       7       6       7       6       1       6       5       2       5
Vardas528             Pavarde528                   1      10       2       3       8      10       6       5       1       7       7       9       6       1       3       8
Vardas529             Pavarde529                   7       8       3       6       8       1       3       9       7       1       8       6      10       5       3       2
Vardas530             Pavarde530                   2      10       7       8       3       2       8       1       3      10       5       6      10       5       7       7
Vardas531             Pavarde531                   5       7       4       7       7      10       7       8       9       9       9       4       5       2      10       5
Vardas532             Pavarde532                   8      10       4       2       1       6       6       2       6       7       7       7       7       8       5       6
Vardas533             Pavarde533                   9       3       9       3       5       9      10       1       5       1       8       6       8       1       6       3
Vardas534             Pavarde534                   2       3       3       9       2       7       3       4       8       7       8       8       6       6       1       9
Vardas535             Pavarde535                   4       2       9       2      10       1       3      10       4       2       4      10       9       4       9       7
Vardas536             Pavarde536                   8       3       8       8      10       3       4       9       4       7       2       5       8      10       6       2
Vardas537             Pavarde537                  10       3       6       5       5       7       9       3       2       4       3       6       9       6       3       8
Vardas538             Pavarde538                   6      10       2       9       3       1       7       8       1       7      10       2       2       9       9       7
Vardas539             Pavarde539                   6       6       4       1      10       3       1       4       5       1       2       8       9       6       8       2
Vardas540             Pavarde540                   5       9       8       5       7       6       1       5       6       7       8       8       1       3       3       2
Vardas541             Pavarde541                   7       7       7       2       1       4       8       1       3       1       2       4       2       3      10       5
Vardas542             Pavarde542                  10       8       6       9       8       7      10       5       4       3       8       2       4       1      10       4
Vardas543             Pavarde543                   9       6       3       8      10      10       8       4       7       8       5       9       1       9       6       4
Vardas544             Pavarde544                   5       7       3      10       1      10       4       6       3       4       9       3       3       7       3       9
Vardas545             Pavarde545                   3       6       5       1       2       8       7       6       5       7       6       6       6      10      10       1
Vardas546             Pavarde546                   7       6       4       4       8       4       3       3       4       1       1       9       2       5       1       7
Vardas547             Pavarde547                   7       3       8       6      10       4       4       6       4      10       6       9      10       3       3       1
Vardas548             Pavarde548                   2       7       2       7       6       4       7       4      10       9       7       9       8       4       9       2
Vardas549             Pavarde549                   2       9       4       3      10      10       2       8       4       2       2       3       5       3      10       8
Vardas550             Pavarde550                   9       8       3       2       7       5       7       7       6       1      10       3       8       4       6       9
Vardas551             Pavarde551                   5      10      10       7      10       5       9       1       5       3       3       7       7      10       7       4
Vardas552             Pavarde552                   3       3       9       8       8       3       2       2       3       6       9       5       9       1      10       8
Vardas553             Pavarde553                   1       2       8       3       9       9       3       3       6       8       1       1       9       8       4       2
Vardas554             Pavarde554                   6       1       4       7       2       9       3       1       7       5      10       7       2       3       8       7
Vardas555             Pavarde555                   9       5       3       5       3       7       8       3       6       6       8       9       5       8       1       9
Vardas556             Pavarde556                   4       3       6       1       4       4       6       8      10       6      10       2       3       4       2       4
Vardas557             Pavarde557                   3       6       5       3       8       3       2       6       9       5       1       5       6       3       4      10
Vardas558             Pavarde558                   1       6       7       6       9       6       7      10       9       6       5       1       8      10       9       4
Vardas559             Pavarde559                   1       7       9       9       9       6       8       4       7       8       5       2      10       4       2       6
Vardas560             Pavarde560                   1       7       8       9       5       3       9       6       7      10       1       4       1       1       4       8
Vardas561             Pavarde561                   6      10       2       6       8       7       9       4       1       7       9       8       6       7       2       2
Vardas562             Pavarde562                   6       5       7       8       3       5       1       2       8       1      10       7       3       6       2       8
Vardas563             Pavarde563                   5       3       3       4       8       4       4       6       1       1      10       7       2       5       9      10
Vardas564             Pavarde564                   9       8       5       1       5       3      10       2       8       9       5       7       3       2       4      10
Vardas565             Pavarde565                   7       7       9       5       4       8       8       1      10       2       5       9       6       3       4       9
Vardas566             Pavarde566                   4       4       5       4       9       8       6       1       1       4       9       1      10       8       8       6
Vardas567             Pavarde567                   6       2      10       6       1       3       5       5       3      10       4       2       1       1       9       8
Vardas568             Pavarde568                   1       1      10       6       8       2       8       3       8       8       7       1       2       3       7       4
Vardas569             Pavarde569                   2       5       2       8       5       2       3       6       5       9      10       9       5       8       6      10
Vardas570             Pavarde570                   6       8       3       3      10       1       8       5       1       7       4       5       5       4       9       5
Vardas571             Pavarde571                   4       1       4       5       1       8       8       7       1      10       7       4       4       7       8       9
Vardas572             Pavarde572                   5       1       6      10       9       6       2       9       5       4       4       8       6       6       2       5
Vardas573             Pavarde573                   6       3       5       2       8       4      10       1       6       5       1       7       1       3       7       1
Vardas574             Pavarde574                   6       8       1       8       6       3       3       8       7       8       2       1       2       2      10       7
Vardas575             Pavarde575                   2       4       4       2       7       2       3       4      10       4       2      10       3       7       2       3
Vardas576             Pavarde576                   1       2       6       1       8       8       1       6       2       8       9       7       1       9       6       3
Vardas577             Pavarde577                  10       4       8       4      10       9       6       2       1      10      10       1       7       2       5       7
Vardas578             Pavarde578                   5       4       1       6       7       5       2       7       3       8       5       2       5       6       9      10
Vardas579             Pavarde579                   8       2       8       1      10       9       4      10       2       1       5      10       6       9       4       1
Vardas580             Pavarde580                   3       1       2       4       1       1       1      10       5       9       4       8      10       6       6       7
Vardas581             Pavarde581                   8      10       4      10       2       7       4       1       4       4       2       2       4       9       3       5
Vardas582             Pavarde582                   3       7       5       3       8       3       5       4       1       3       4       9       9       9       9       4
Vardas583             Pavarde583                   6       7       3       6       3       3       2       3       3       7       2       6       7       2       5       4
Vardas584             Pavarde584                   8       7       9       8       1      10       1       3       7       8      10       8       3       2       7       4
Vardas585             Pavarde585                   4       8       8       8       5       4       4      10       5       6      10       5       1       3       9       4
Vardas586             Pavarde586                   3       3       9       2       3       8      10       6       2       5       3       4       7       2       4       3
Vardas587             Pavarde587                   7       7       2      10       6       8       5       3       9      10       4       2       3       5       4       6
Vardas588             Pavarde588                   1       3       5       7       8       5       2       8       7       3       9       4       1       4       7       2
Vardas589             Pavarde589                   7       9       6       7       8       9       9       7       3       8       3      10       8       6       9       7
Vardas590             Pavarde590                   1       7       8       3       2       2       4       6       2       8       2       8       1       1       3       5
Vardas591             Pavarde591                  10       1       6       8       6       2       3       2       5       6       9       2       8       1       6       9
Vardas592             Pavarde592                   8       7       5       5       8       4       1       6       9       5       6       9       5       6       5      10
Vardas593             Pavarde593                   7       1       6       2       2       9       2       3       6       3      10       4       9       1       5       5
Vardas594             Pavarde594                   3       8       2       5       4       4       6       2       2       7       5       8      10      10       5       4
Vardas595             Pavarde595                   1      10      10       9       7      10      10       5      10       1       6       9       3      10       9       9
Vardas596             Pavarde596                   7       3       8       6       5       6      10       8      10       6       8       2       8       3       7       5
Vardas597             Pavarde597                   6       4       8       3       1       6       8       2       8       4       4       5       6       2       5       7
Vardas598             Pavarde598                   7       8       7       5       2      10       4       1       9      10       9       5      10       6       2       7
Vardas599             Pavarde599                   7       3      10       1       2       4       8       3       6       1      10       4       2       3       1       6
Vardas600             Pavarde600                   8       1       4       9       3       6       5       3       4      10       8       4       1       7       8       6
Vardas601             Pavarde601                   2      10      10       5       3       6       8       2       4       5       3       4      10       7       1       1
Vardas602             Pavarde602                   9       5      10      10      10       3       2       3       8      10      10       3       9       5       6       9
Vardas603             Pavarde603                   1       1       1       2       2       5       2       5       4       8       9       4      10       3       5       4
